tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
9001061100,9120061100,611,Fairfield,900126620,912026620,Fairfield,9001,Greater Bridgeport Planning Region,9120,20702,Bridgeport Suburban,51,Fairfield,06825
9009170600,9170170600,1706,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06451
9009170700,9170170700,1707,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06451
9009170800,9170170800,1708,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06451
9009171000,9170171000,1710,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06450
9001061300,9120061300,613,Fairfield,900126620,912026620,Fairfield,9001,Greater Bridgeport Planning Region,9120,20702,Bridgeport Suburban,51,Fairfield,06825
9009165600,9170165600,1656,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06514
9009165700,9170165700,1657,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06514
9009165801,9170165801,1658.01,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06514
9009165802,9170165802,1658.02,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06514
9009165500,9170165500,1655,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06514
9003514400,9110514400,5144,Manchester,900344700,911044700,Hartford,9003,Capitol Planning Region,9110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
9015902200,9150902200,9022,Eastford,901521860,915021860,Windham,9015,Northeastern Connecticut Planning Region,9150,20204,Northeastern Planning Region & Stafford Town,39,Eastford,06242
9007541100,9130541100,5411,Middletown,900747360,913047360,Middlesex,9007,Lower Connecticut River Valley Planning Region,9130,20400,Lower Connecticut River Valley,83,Middletown,06457
9007541500,9130541500,5415,Middletown,900747360,913047360,Middlesex,9007,Lower Connecticut River Valley Planning Region,9130,20400,Lower Connecticut River Valley,83,Middletown,06459
9015800300,9180800300,8003,Windham,901586790,918086790,Windham,9015,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,163,Windham,06226
9015902500,9150902500,9025,Pomfret,901561030,915061030,Windham,9015,Northeastern Connecticut Planning Region,9150,20204,Northeastern Planning Region & Stafford Town,112,Pomfret,06259
9015904500,9150904500,9045,Killingly,901540500,915040500,Windham,9015,Northeastern Connecticut Planning Region,9150,20204,Northeastern Planning Region & Stafford Town,69,Killingly,06239
9015800400,9180800400,8004,Windham,901586790,918086790,Windham,9015,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,163,Windham,06226
9015800600,9180800600,8006,Windham,901586790,918086790,Windham,9015,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,163,Windham,06226
9015907100,9150907100,9071,Plainfield,901559980,915059980,Windham,9015,Northeastern Connecticut Planning Region,9150,20204,Northeastern Planning Region & Stafford Town,109,Plainfield,06374
9015900100,9150900100,9001,Thompson,901575870,915075870,Windham,9015,Northeastern Connecticut Planning Region,9150,20204,Northeastern Planning Region & Stafford Town,141,Thompson,06277
9015830100,9150830100,8301,Ashford,901501430,915001430,Windham,9015,Northeastern Connecticut Planning Region,9150,20204,Northeastern Planning Region & Stafford Town,219,Region 19,06278
9001230502,9190230502,2305.02,Newtown,900152980,919052980,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,97,Newtown,06482
9001230501,9190230501,2305.01,Newtown,900152980,919052980,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,97,Newtown,06482
9003514500,9110514500,5145,Manchester,900344700,911044700,Hartford,9003,Capitol Planning Region,9110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
9003514600,9110514600,5146,Manchester,900344700,911044700,Hartford,9003,Capitol Planning Region,9110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
9003514700,9110514700,5147,Manchester,900344700,911044700,Hartford,9003,Capitol Planning Region,9110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
9003514800,9110514800,5148,Manchester,900344700,911044700,Hartford,9003,Capitol Planning Region,9110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
9003514900,9110514900,5149,Manchester,900344700,911044700,Hartford,9003,Capitol Planning Region,9110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06042
9003515000,9110515000,5150,Manchester,900344700,911044700,Hartford,9003,Capitol Planning Region,9110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
9003515200,9110515200,5152,Manchester,900344700,911044700,Hartford,9003,Capitol Planning Region,9110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
9003500500,9110500500,5005,Hartford,900337070,911037070,Hartford,9003,Capitol Planning Region,9110,20201,Hartford Town,64,Hartford,06106
9003520201,9110520201,5202.01,Glastonbury,900331240,911031240,Hartford,9003,Capitol Planning Region,9110,20206,"Glastonbury, Wethersfield, Rocky Hill & Newington Towns",54,Glastonbury,06033
9013533103,9110533103,5331.03,Tolland,901376290,911076290,Tolland,9013,Capitol Planning Region,9110,20203,Capitol East,142,Tolland,06084
9013533104,9110533104,5331.04,Tolland,901376290,911076290,Tolland,9013,Capitol Planning Region,9110,20203,Capitol East,142,Tolland,06084
9013535102,9110535102,5351.02,Ellington,901325360,911025360,Tolland,9013,Capitol Planning Region,9110,20203,Capitol East,48,Ellington,06029
9013535101,9110535101,5351.01,Ellington,901325360,911025360,Tolland,9013,Capitol Planning Region,9110,20203,Capitol East,48,Ellington,06029
