tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
9003417300,9110417300,4173,New Britain,900350440,911050440,Hartford,9003,Capitol Planning Region,9110,20207,"New Britain, Southington, Berlin & Plainville Towns",89,New Britain,06053
9003980003,9110980003,9800.03,Suffield,900374540,911074540,Hartford,9003,Capitol Planning Region,9110,20202,Connecticut River North,139,Suffield,06078
9003980100,9110980100,9801,Hartford,900337070,911037070,Hartford,9003,Capitol Planning Region,9110,20201,Hartford Town,64,Hartford,06120
9003980001,9110980001,9800.01,East Granby,900322070,911022070,Hartford,9003,Capitol Planning Region,9110,20208,Capitol West,40,East Granby,06026
9009142604,9170142604,1426.04,New Haven,900952070,917052070,New Haven,9009,South Central Connecticut Planning Region,9170,20501,New Haven Town,93,New Haven,06513
9009361401,9170361401,3614.01,New Haven,900952070,917052070,New Haven,9009,South Central Connecticut Planning Region,9170,20501,New Haven Town,93,New Haven,06511
9003460100,9110460100,4601,Farmington,900327600,911027600,Hartford,9003,Capitol Planning Region,9110,20208,Capitol West,52,Farmington,06032
9001257200,9120257200,2572,Bridgeport,900108070,912008070,Fairfield,9001,Greater Bridgeport Planning Region,9120,20701,Bridgeport Town,15,Bridgeport,06606
9003405402,9140405402,4054.02,Bristol,900308490,914008490,Hartford,9003,Naugatuck Valley Planning Region,9140,20602,Naugatuck Valley North,17,Bristol,06010
9003524502,9110524502,5245.02,Hartford,900337070,911037070,Hartford,9003,Capitol Planning Region,9110,20201,Hartford Town,64,Hartford,06105
9003524200,9110524200,5242,Rocky Hill,900365370,911065370,Hartford,9003,Capitol Planning Region,9110,20206,"Glastonbury, Wethersfield, Rocky Hill & Newington Towns",119,Rocky Hill,06067
9003460203,9110460203,4602.03,Farmington,900327600,911027600,Hartford,9003,Capitol Planning Region,9110,20208,Capitol West,52,Farmington,06032
